Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Bristle material (product.metafields.shopify.bristle-material),Bristle shape (product.metafields.shopify.bristle-shape),Brush application (product.metafields.shopify.brush-application),Chair features (product.metafields.shopify.chair-features),Color (product.metafields.shopify.color-pattern),Dispenser type (product.metafields.shopify.dispenser-type),Handle material (product.metafields.shopify.handle-material),Paint type (product.metafields.shopify.paint-type),Seat type (product.metafields.shopify.seat-type),Snowboard binding mount (product.metafields.test_data.binding_mount),Snowboard length (product.metafields.test_data.snowboard_length),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Australia,Price / Australia,Compare At Price / Australia,Included / International,Price / International,Compare At Price / International,Included / Mexico,Price / Mexico,Compare At Price / Mexico,Status
Tulen Reclining Recliner,,,,,,,,,Medium,,,,,,,,,43973.21356,shopify,deny,manual,314.07,361,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_62.png?v=1744782968,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Tulen Reclining Recliner,,,,,,,,,Large,,,,,,,,,44353.32692,shopify,deny,manual,316.68,364,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_63.png?v=1744782914,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Solana Power Reclining Recliner,Solana Power Reclining Recliner,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Cindy Crawford Home,Uncategorized,,,TRUE,Size,Small,,,,,,,,,44733.44028,shopify,deny,manual,319.29,367,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_64.png?v=1744782951,116,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC922,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Mitchiner Reclining Recliner,Mitchiner Reclining Recliner,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Cindy Crawford Home,Uncategorized,,,TRUE,Size,Small,,,,,,,,,45113.55364,shopify,deny,manual,321.9,370,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_65.png?v=1744782968,117,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC910,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Darcy Suit,Darcy Suit,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Cindy Crawford Home,Uncategorized,,,TRUE,Size,Small,,,,,,,,,45493.667,shopify,deny,manual,324.51,373,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_66.png?v=1744782968,118,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC910,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Darcy Suit,,,,,,,,,Medium,,,,,,,,,45873.78036,shopify,deny,manual,327.12,376,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_67.png?v=1744782983,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Darcy Suit,,,,,,,,,Large,,,,,,,,,46253.89372,shopify,deny,manual,329.73,379,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_68.png?v=1744782982,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Vail Fur Swivel Suit,Vail Fur Swivel Suit,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Cindy Crawford Home,Uncategorized,,,TRUE,Size,Small,,,,,,,,,46634.00709,shopify,deny,manual,332.34,382,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_69.png?v=1744782991,121,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC911,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Vail Fur Swivel Suit,,,,,,,,,Medium,,,,,,,,,47014.12045,shopify,deny,manual,334.95,385,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_7.png?v=1744782959,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Vail Fur Swivel Suit,,,,,,,,,Large,,,,,,,,,47394.23381,shopify,deny,manual,337.56,388,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_70.png?v=1744782950,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Lindyn Oversized Swivel Accent Suit,Lindyn Oversized Swivel Accent Suit,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Cindy Crawford Home,Uncategorized,,,TRUE,Size,Small,,,,,,,,,47774.34717,shopify,deny,manual,340.17,391,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_71.png?v=1744782953,124,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC912,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Lindyn Oversized Swivel Accent Suit,,,,,,,,,Medium,,,,,,,,,48154.46053,shopify,deny,manual,342.78,394,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_72.png?v=1744782955,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Lindyn Oversized Swivel Accent Suit,,,,,,,,,Large,,,,,,,,,48534.57389,shopify,deny,manual,345.39,397,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_73.png?v=1744782953,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Mahoney Chaise Suit,Mahoney Chaise Suit,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Cindy Crawford Home,Uncategorized,,,TRUE,Size,Small,,,,,,,,,48914.68725,shopify,deny,manual,348,400,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_74.png?v=1744782971,127,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC913,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Mahoney Chaise Suit,,,,,,,,,Medium,,,,,,,,,49294.80061,shopify,deny,manual,350.61,403,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_75.png?v=1744782980,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Mahoney Chaise Suit,,,,,,,,,Large,,,,,,,,,49674.91397,shopify,deny,manual,353.22,406,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_76.png?v=1744782982,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Karinne Oversized Suit,Karinne Oversized Suit,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Cindy Crawford Home,Uncategorized,,,TRUE,Size,Small,,,,,,,,,50055.02733,shopify,deny,manual,355.83,409,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_77.png?v=1744782971,130,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC914,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Karinne Oversized Suit,,,,,,,,,Medium,,,,,,,,,50435.14069,shopify,deny,manual,358.44,412,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_78.png?v=1744782952,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Karinne Oversized Suit,,,,,,,,,Large,,,,,,,,,50815.25405,shopify,deny,manual,361.05,415,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_79.png?v=1744782896,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Karinne Oversized Suit,,,,,,,,,,,,,,,,,,51195.36741,shopify,deny,manual,363.66,418,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_8.png?v=1744782922,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Adelaide Suit,Adelaide Suit,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Cindy Crawford Home,Uncategorized,,,TRUE,Size,Small,,,,,,,,,51575.48077,shopify,deny,manual,366.27,421,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_80.png?v=1744782995,134,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC915,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Adelaide Suit,,,,,,,,,Medium,,,,,,,,,51955.59413,shopify,deny,manual,368.88,424,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_81.png?v=1744782995,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Adelaide Suit,,,,,,,,,Large,,,,,,,,,52335.70749,shopify,deny,manual,371.49,427,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_82.png?v=1744782994,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Flexsteel Adrian Leather Power Suit,Flexsteel Adrian Leather Power Suit,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Cindy Crawford Home,Uncategorized,,,TRUE,Size,Small,,,,,,,,,52715.82085,shopify,deny,manual,374.1,430,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_83.png?v=1744782983,137,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC916,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Flexsteel Adrian Leather Power Suit,,,,,,,,,Medium,,,,,,,,,53095.93421,shopify,deny,manual,376.71,433,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_84.png?v=1744782980,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Flexsteel Adrian Leather Power Suit,,,,,,,,,Large,,,,,,,,,53476.04757,shopify,deny,manual,379.32,436,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_85.png?v=1744782981,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Denver Power Suit,Denver Power Suit,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Cindy Crawford Home,Uncategorized,,,TRUE,Size,Small,,,,,,,,,53856.16093,shopify,deny,manual,381.93,439,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_86.png?v=1744783001,140,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC917,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Denver Power Suit,,,,,,,,,Medium,,,,,,,,,54236.27429,shopify,deny,manual,384.54,442,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_87.png?v=1744782971,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Venture Manual Suit,Venture Manual Suit,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Cindy Crawford Home,Uncategorized,,,TRUE,Size,Small,,,,,,,,,54616.38765,shopify,deny,manual,387.15,445,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_88.png?v=1744782933,142,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC918,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Venture Manual Suit,,,,,,,,,Medium,,,,,,,,,54996.50101,shopify,deny,manual,389.76,448,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_89.png?v=1744782982,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Venture Manual Suit,,,,,,,,,Large,,,,,,,,,55376.61437,shopify,deny,manual,392.37,451,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_9.png?v=1744782942,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Lawrence Power Reclining Suit,Lawrence Power Reclining Suit,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Cindy Crawford Home,Uncategorized,,,TRUE,Size,Small,,,,,,,,,55756.72773,shopify,deny,manual,394.98,454,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_90.png?v=1744782955,145,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC919,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Lawrence Power Reclining Suit,,,,,,,,,Medium,,,,,,,,,56136.84109,shopify,deny,manual,397.59,457,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_91.png?v=1744782982,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Lawrence Power Reclining Suit,,,,,,,,,Large,,,,,,,,,56516.95445,shopify,deny,manual,400.2,460,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_92.png?v=1744782971,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Lawrence Power Reclining Suit,,,,,,,,,,,,,,,,,,56897.06781,shopify,deny,manual,402.81,463,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_93.png?v=1744783009,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Sarabella Queen Memory Foam Sleeper Suit,Sarabella Queen Memory Foam Sleeper Suit,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Cindy Crawford Home,Uncategorized,,,TRUE,Size,Small,,,,,,,,,57277.18117,shopify,deny,manual,405.42,466,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_94.png?v=1744782981,149,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC920,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Sarabella Queen Memory Foam Sleeper Suit,,,,,,,,,Medium,,,,,,,,,57657.29453,shopify,deny,manual,408.03,469,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_95.png?v=1744783001,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Sarabella Queen Memory Foam Sleeper Suit,,,,,,,,,Large,,,,,,,,,58037.40789,shopify,deny,manual,410.64,472,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_96.png?v=1744782999,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Tulen Reclining Suit,Tulen Reclining Suit,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Drew Jonathan,Uncategorized,,,TRUE,Size,Small,,,,,,,,,58417.52126,shopify,deny,manual,413.25,475,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_97.png?v=1744782975,152,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC921,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Tulen Reclining Suit,,,,,,,,,Medium,,,,,,,,,58797.63462,shopify,deny,manual,415.86,478,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_98.png?v=1744782957,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Tulen Reclining Suit,,,,,,,,,Large,,,,,,,,,59177.74798,shopify,deny,manual,418.47,481,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_98.png?v=1744782957,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Solana Power Reclining Suit,Solana Power Reclining Suit,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Drew Jonathan,Uncategorized,,,TRUE,Size,Small,,,,,,,,,59557.86134,shopify,deny,manual,421.08,484,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/dining-room_1.png?v=1745165278,155,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC922,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Mitchiner Reclining Suit,Mitchiner Reclining Suit,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Drew Jonathan,Uncategorized,,,TRUE,Size,Small,,,,,,,,,59937.9747,shopify,deny,manual,423.69,487,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/dining-room_10.png?v=1745165263,156,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC910,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Darcy Sectional,Darcy Sectional,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Drew Jonathan,Uncategorized,,,TRUE,Size,Small,,,,,,,,,60318.08806,shopify,deny,manual,426.3,490,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/dining-room_11.png?v=1745165281,157,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC910,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Darcy Sectional,,,,,,,,,Medium,,,,,,,,,60698.20142,shopify,deny,manual,428.91,493,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/dining-room_12.png?v=1745165281,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Darcy Sectional,,,,,,,,,Large,,,,,,,,,61078.31478,shopify,deny,manual,431.52,496,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/dining-room_13.png?v=1745165279,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Vail Fur Swivel Sectional,Vail Fur Swivel Sectional,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Drew Jonathan,Uncategorized,,,TRUE,Size,Small,,,,,,,,,61458.42814,shopify,deny,manual,434.13,499,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/dining-room_14.png?v=1745165279,160,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC911,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Vail Fur Swivel Sectional,,,,,,,,,Medium,,,,,,,,,61838.5415,shopify,deny,manual,436.74,502,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/dining-room_15.png?v=1745165279,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Vail Fur Swivel Sectional,,,,,,,,,Large,,,,,,,,,62218.65486,shopify,deny,manual,439.35,505,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/dining-room_16.png?v=1745165271,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Lindyn Oversized Swivel Accent Sectional,Lindyn Oversized Swivel Accent Sectional,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Flexsteel,Uncategorized,,,TRUE,Size,Small,,,,,,,,,62598.76822,shopify,deny,manual,441.96,508,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/dining-room_17.png?v=1745165281,163,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC912,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Lindyn Oversized Swivel Accent Sectional,,,,,,,,,Medium,,,,,,,,,62978.88158,shopify,deny,manual,444.57,511,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/dining-room_18.png?v=1745165275,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Lindyn Oversized Swivel Accent Sectional,,,,,,,,,Large,,,,,,,,,63358.99494,shopify,deny,manual,447.18,514,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/dining-room_19.png?v=1745165279,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Mahoney Chaise Sectional,Mahoney Chaise Sectional,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Flexsteel,Uncategorized,,,TRUE,Size,Small,,,,,,,,,63739.1083,shopify,deny,manual,449.79,517,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/dining-room_2.png?v=1745165275,166,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC913,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Mahoney Chaise Sectional,,,,,,,,,Medium,,,,,,,,,64119.22166,shopify,deny,manual,452.4,520,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/dining-room_20.png?v=1745165276,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Mahoney Chaise Sectional,,,,,,,,,Large,,,,,,,,,64499.33502,shopify,deny,manual,455.01,523,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/dining-room_21.png?v=1745165279,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
